City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,mandalgovi,45.7625,106.2708,-7.95,61,23,3.46,MN,1673232959
83,qaanaaq,77.484,-69.3632,-24.63,97,100,1.06,GL,1673232959
84,lokhvytsya,50.3678,33.2602,-8.38,67,83,5.24,UA,1673232960
85,gornyy,55.1153,83.9059,-15.2,87,97,11.73,RU,1673232960
86,pangody,65.85,74.4859,-21.88,97,99,6.39,RU,1673232961
87,novyy urengoy,66.0833,76.6333,-23.48,98,99,4.78,RU,1673232961
88,cape town,-33.9258,18.4232,19.95,85,20,2.57,ZA,1673232738
89,havre-saint-pierre,50.2334,-63.5986,-9.0,85,100,1.54,CA,1673232962
90,victoria,22.2855,114.1577,21.22,76,99,4.02,HK,1673232715
91,roma,43.2128,-75.4557,-2.93,66,3,1.68,US,1673232962
92,kodiak,57.79,-152.4072,-0.27,86,100,8.23,US,1673232963
93,cherskiy,68.75,161.3,-42.17,100,63,2.0,RU,1673232963
94,prince george,53.9166,-122.753,1.46,96,100,5.66,CA,1673232963
95,plettenberg bay,-34.0527,23.3716,19.31,76,2,2.11,ZA,1673232770
96,izumo,35.3667,132.7667,9.94,76,75,2.06,JP,1673232515
97,saint-joseph,-21.3667,55.6167,25.21,75,17,4.56,RE,1673232964
98,dikson,73.5069,80.5464,-37.71,93,21,3.86,RU,1673232964
99,bambous virieux,-20.3428,57.7575,26.23,83,75,3.09,MU,1673232965
100,bonavista,48.6499,-53.1147,-2.36,79,100,10.31,CA,1673232965
101,srivardhan,18.0333,73.0167,22.86,42,0,2.65,IN,1673232965
102,denizli,37.8402,29.0698,4.36,58,0,0.69,TR,1673232966
103,makasar,-5.14,119.4221,24.03,88,40,1.03,ID,1673232781
104,andros town,24.7,-77.7667,23.98,76,3,5.12,BS,1673232966
105,arraial do cabo,-22.9661,-42.0278,21.74,91,100,3.95,BR,1673232967
106,teacapan,22.55,-105.75,20.73,78,3,3.4,MX,1673232967
107,kang,-23.6752,22.7876,20.84,59,10,5.72,BW,1673232967
108,mbandaka,0.0487,18.2603,21.49,88,45,1.34,CD,1673232968
109,abbeville,50.1,1.8333,8.98,82,100,9.9,FR,1673232806
110,namuac,18.6109,121.1657,24.53,71,57,6.6,PH,1673232968
