City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,tucuma,-0.1833,-50.05,23.34,94,84,1.99,BR,1673244665
84,hit,33.6416,42.8251,11.37,66,29,2.99,IQ,1673244665
85,port alfred,-33.5906,26.891,22.88,82,1,0.45,ZA,1673244593
86,tabuk,17.4189,121.4443,25.44,68,42,2.12,PH,1673244666
87,bambous virieux,-20.3428,57.7575,29.14,65,75,6.69,MU,1673244647
88,saldanha,-33.0117,17.9442,18.35,84,7,2.99,ZA,1673244666
89,victoria,22.2855,114.1577,22.2,72,99,4.92,HK,1673244548
90,arraial do cabo,-22.9661,-42.0278,21.5,91,100,2.75,BR,1673244638
91,hervey bay,-25.2986,152.8535,28.34,64,80,2.24,AU,1673244667
92,leningradskiy,69.3833,178.4167,-28.55,96,80,1.3,RU,1673244590
93,port-gentil,-0.7193,8.7815,24.98,94,100,5.14,GA,1673244669
94,schijndel,51.6225,5.4319,7.38,89,100,6.17,NL,1673244669
95,esperance,-33.8667,121.9,22.99,59,0,8.62,AU,1673244669
96,pelotas,-31.7719,-52.3425,18.32,86,7,2.35,BR,1673244670
97,barinas,8.6226,-70.2075,22.93,78,66,1.7,VE,1673244670
98,svetlyy,54.675,20.1347,2.03,92,99,5.87,RU,1673244670
99,airai,-8.9266,125.4092,20.98,70,92,1.3,TL,1673244671
100,beloha,-25.1667,45.05,28.08,65,90,2.28,MG,1673244671
101,vao,-22.6667,167.4833,25.02,69,39,11.23,NC,1673244672
102,mana,5.6592,-53.7767,23.73,91,100,3.68,GF,1673244673
103,olafsvik,64.8945,-23.7142,-0.4,67,100,8.53,IS,1673244594
104,port moresby,-9.4431,147.1797,31.68,58,75,5.14,PG,1673244656
105,mbekenyera,-10.0,38.9833,25.52,83,95,1.91,TZ,1673244674
106,pevek,69.7008,170.3133,-28.44,95,100,1.26,RU,1673244604
107,arlit,18.7369,7.3853,15.31,25,93,4.45,NE,1673244674
108,albany,42.6001,-73.9662,-0.99,86,14,0.88,US,1673244600
109,mitsamiouli,-11.3847,43.2844,28.05,71,24,2.04,KM,1673244675
110,kalavad,22.2167,70.3833,26.26,42,0,4.1,IN,1673244675
111,jiaonan,35.8786,119.9753,7.44,34,9,6.26,CN,1673244676
112,seoul,37.5683,126.9778,8.66,44,0,5.66,KR,1673243927
113,avarua,-21.2078,-159.775,25.33,88,100,11.44,CK,1673244606
114,isangel,-19.55,169.2667,27.02,87,100,8.48,VU,1673244677
115,healdsburg,38.6105,-122.8692,13.07,83,100,7.72,US,1673244677
116,hilo,19.7297,-155.09,26.82,82,100,2.06,US,1673244645
117,portland,45.5234,-122.6762,8.9,92,75,4.63,US,1673244496
118,severo-kurilsk,50.6789,156.125,-4.01,68,99,6.07,RU,1673244680
119,saint-augustin,51.226,-58.6502,-13.16,93,85,2.85,CA,1673244681
120,ardakan,32.31,54.0175,9.36,35,1,0.26,IR,1673244682
121,katsuura,35.1333,140.3,12.21,58,13,3.01,JP,1673244509
122,hithadhoo,-0.6,73.0833,27.44,74,61,4.48,MV,1673244589
123,naifaru,5.4444,73.3657,27.21,76,20,7.53,MV,1673244685
124,tawang,27.5833,91.8667,11.8,24,0,2.83,IN,1673244685
125,havre-saint-pierre,50.2334,-63.5986,-8.0,92,100,4.63,CA,1673244686
126,hun,29.1268,15.9477,9.21,90,1,1.93,LY,1673244686
127,aswan,24.0934,32.907,13.94,47,0,4.19,EG,1673244686
128,asau,46.4333,26.4,2.51,86,32,1.8,RO,1673244687
129,egvekinot,66.3167,-179.1667,-19.69,87,100,3.24,RU,1673244687
130,tari,12.4086,4.4914,19.29,23,29,6.23,NG,1673244688
131,pangnirtung,66.1451,-65.7125,-25.76,75,20,1.69,CA,1673244688
132,gallup,35.5281,-108.7426,-2.58,50,36,2.56,US,1673244689
133,dubna,56.7333,37.1667,-22.57,98,30,2.87,RU,1673244690
134,tepusteca,15.4167,-86.3167,17.98,98,81,0.46,HN,1673244690
135,fortuna,40.5982,-124.1573,14.19,66,100,11.83,US,1673244691
136,shar,49.5886,81.0453,-6.65,87,100,1.61,KZ,1673244691
137,yumen,40.2833,97.2,1.56,21,1,7.18,CN,1673244636
138,kungurtug,50.5994,97.5228,-4.97,74,38,0.52,RU,1673244692
139,qaanaaq,77.484,-69.3632,-25.94,97,100,1.18,GL,1673244612
140,cherskiy,68.75,161.3,-42.53,100,67,1.55,RU,1673244623
141,palu,-0.8917,119.8707,25.11,94,100,1.24,ID,1673244619
142,dembi dolo,8.5333,34.8,19.77,40,18,1.69,ET,1673244692
143,booue,-0.0921,11.9385,22.54,94,49,0.47,GA,1673244693
144,cayenne,4.9333,-52.3333,23.02,100,100,0.51,GF,1673244693
145,atar,20.5169,-13.0499,19.13,14,100,5.61,MR,1673244693
146,namtsy,62.7161,129.6658,-30.35,100,100,1.34,RU,1673244694
147,tulum,20.2167,-87.4667,21.49,94,18,2.34,MX,1673244694
148,touros,-5.1989,-35.4608,24.89,81,78,3.46,BR,1673244695
149,saint-pierre,-21.3393,55.4781,29.82,54,0,2.57,RE,1673244695
150,orotukan,62.2667,151.7,-33.81,98,100,0.62,RU,1673244696
151,coihaique,-45.5752,-72.0662,16.34,94,100,2.57,CL,1673244696
152,oranjemund,-28.55,16.4333,17.64,82,42,1.66,NA,1673244697
153,mananjary,-21.2167,48.3333,27.53,74,85,3.7,MG,1673244697
154,ryotsu,38.0833,138.4333,9.34,72,96,8.26,JP,1673244698
155,neon karlovasion,37.7903,26.7044,10.5,58,0,1.96,GR,1673244698
156,irbil,36.1926,44.0106,4.9,100,75,1.03,IQ,1673244699
157,longyearbyen,78.2186,15.6401,-2.09,74,75,5.66,SJ,1673244472
158,maragogi,-9.0122,-35.2225,23.87,79,55,0.92,BR,1673244699
159,bredasdorp,-34.5322,20.0403,21.56,73,67,1.64,ZA,1673244619
160,yarmouth,41.7057,-70.2286,3.87,84,0,3.09,US,1673244700
161,luanda,-8.8368,13.2343,24.0,94,75,2.06,AO,1673244700
162,gamboma,-1.8764,15.8644,23.19,83,98,1.07,CG,1673244701
163,haines junction,60.7522,-137.5108,-5.97,97,100,0.84,CA,1673244701
164,groningen,53.25,6.75,6.12,91,100,4.63,NL,1673244702
165,guadalupe y calvo,26.1,-106.9667,4.83,58,84,2.23,MX,1673244702
166,torbay,47.6666,-52.7314,-3.01,89,100,3.58,CA,1673244703
167,thompson,55.7435,-97.8558,-24.1,100,70,0.87,CA,1673244603
168,pincher creek,49.4833,-113.952,4.06,64,0,7.72,CA,1673244703
